S No,PS No,LOCATION,Nature,Refined PS,Year,Election,Party,Alliance,Votes
1,1,ஆனந்தகுடி,வருவாய் கிராமம் ,1,2014,LS,ADMK,ADMK+,238
2,2,கொக்கரசன்பேட்டை,வருவாய் கிராமம் ,2,2014,LS,ADMK,ADMK+,328
3,3,மதகளிர் மாணிக்கம்,வருவாய் கிராமம் ,3,2014,LS,ADMK,ADMK+,230
4,4,எசனூர்,வருவாய் கிராமம் ,4,2014,LS,ADMK,ADMK+,170
5,5,குணமங்கலம்,வருவாய் கிராமம் ,5,2014,LS,ADMK,ADMK+,99
6,6,குணமங்கலம்,வருவாய் கிராமம் ,6,2014,LS,ADMK,ADMK+,181
7,7,குணமங்கலம்,வருவாய் கிராமம் ,7,2014,LS,ADMK,ADMK+,163
8,8,கள்ளிப்பாடி,வருவாய் கிராமம் ,8,2014,LS,ADMK,ADMK+,217
9,9,ஸ்ரீபுத்தூர்,வருவாய் கிராமம் ,9,2014,LS,ADMK,ADMK+,119
10,10,அம்புஜவல்லி பேட்டை,வருவாய் கிராமம் ,10,2014,LS,ADMK,ADMK+,152
11,11,நகரப்பாடி,வருவாய் கிராமம் ,11,2014,LS,ADMK,ADMK+,128
12,12,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,12,2014,LS,ADMK,ADMK+,306
13,13,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,13,2014,LS,ADMK,ADMK+,304
14,14,கூடலையாத்தூர்,வருவாய் கிராமம் ,14,2014,LS,ADMK,ADMK+,186
15,15,காவாலக்குடி,வருவாய் கிராமம் ,15,2014,LS,ADMK,ADMK+,234
16,16,காவாலக்குடி,வருவாய் கிராமம் ,16,2014,LS,ADMK,ADMK+,137
17,17,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,17,2014,LS,ADMK,ADMK+,250
18,18,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,18,2014,LS,ADMK,ADMK+,73
19,19,மழவராயநல்லூர்,வருவாய் கிராமம் ,19,2014,LS,ADMK,ADMK+,253
20,20,மழவராயநல்லூர்,வருவாய் கிராமம் ,20,2014,LS,ADMK,ADMK+,63
21,21,குமாரக்குடி,வருவாய் கிராமம் ,22,2014,LS,ADMK,ADMK+,220
22,22,கோதண்டவிளாகம்,வருவாய் கிராமம் ,23,2014,LS,ADMK,ADMK+,90
23,23,நங்குடி,வருவாய் கிராமம் ,25,2014,LS,ADMK,ADMK+,291
24,24,விழுபெருந்துறை,வருவாய் கிராமம் ,26,2014,LS,ADMK,ADMK+,251
25,25,வட்டத்தூர்,வருவாய் கிராமம் ,27,2014,LS,ADMK,ADMK+,171
26,26,வட்டத்தூர்,வருவாய் கிராமம் ,28,2014,LS,ADMK,ADMK+,149
27,27,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,29,2014,LS,ADMK,ADMK+,101
28,28,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,30,2014,LS,ADMK,ADMK+,123
29,29,வலசக்காடு,வருவாய் கிராமம் ,31,2014,LS,ADMK,ADMK+,302
30,30,வலசக்காடு,வருவாய் கிராமம் ,32,2014,LS,ADMK,ADMK+,304
31,31,பேரூர்,வருவாய் கிராமம் ,33,2014,LS,ADMK,ADMK+,247
32,32,பேரூர்,வருவாய் கிராமம் ,34,2014,LS,ADMK,ADMK+,312
33,33,கானூர்,வருவாய் கிராமம் ,35,2014,LS,ADMK,ADMK+,325
34,34,கானூர்,வருவாய் கிராமம் ,36,2014,LS,ADMK,ADMK+,332
35,35,சாத்தவட்டம்,வருவாய் கிராமம் ,37,2014,LS,ADMK,ADMK+,236
36,36,தேத்தாம்பட்டு,வருவாய் கிராமம் ,38,2014,LS,ADMK,ADMK+,241
37,37,தேத்தாம்பட்டு,வருவாய் கிராமம் ,39,2014,LS,ADMK,ADMK+,328
38,38,ஸ்ரீமுஷ்ணம்,வருவாய் கிராமம் ,40,2014,LS,ADMK,ADMK+,226
39,39,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,41,2014,LS,ADMK,ADMK+,261
40,40,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,42,2014,LS,ADMK,ADMK+,247
41,41,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,43,2014,LS,ADMK,ADMK+,249
42,42,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,44,2014,LS,ADMK,ADMK+,275
43,43,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,45,2014,LS,ADMK,ADMK+,280
44,44,ஸ்ரீ புதுக்குப்பம்,வருவாய் கிராமம் ,47,2014,LS,ADMK,ADMK+,511
45,45,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,48,2014,LS,ADMK,ADMK+,419
46,46,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,49,2014,LS,ADMK,ADMK+,416
47,47,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,50,2014,LS,ADMK,ADMK+,439
48,48,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,51,2014,LS,ADMK,ADMK+,301
49,49,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,52,2014,LS,ADMK,ADMK+,372
50,50,மேல்புளியங்குடி,வருவாய் கிராமம் ,53,2014,LS,ADMK,ADMK+,280
51,51,மேல்புளியங்குடி,வருவாய் கிராமம் ,54,2014,LS,ADMK,ADMK+,305
52,52,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,55,2014,LS,ADMK,ADMK+,367
53,53,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,56,2014,LS,ADMK,ADMK+,297
54,54,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,57,2014,LS,ADMK,ADMK+,193
55,55,நாச்சியார்பேட்டை,வருவாய் கிராமம் ,58,2014,LS,ADMK,ADMK+,148
56,56,கொழை,வருவாய் கிராமம் ,59,2014,LS,ADMK,ADMK+,141
57,57,கொழை,வருவாய் கிராமம் ,60,2014,LS,ADMK,ADMK+,268
58,58,கொழை,வருவாய் கிராமம் ,61,2014,LS,ADMK,ADMK+,304
59,59,கொழை,வருவாய் கிராமம் ,62,2014,LS,ADMK,ADMK+,205
60,60,வாளிஸ்பேட்டை,வருவாய் கிராமம் ,63,2014,LS,ADMK,ADMK+,283
61,61,ராமாபுரம்,வருவாய் கிராமம் ,65,2014,LS,ADMK,ADMK+,470
62,62,தண்டகாரன்குப்பம்,வருவாய் கிராமம் ,66,2014,LS,ADMK,ADMK+,183
63,63,பாளையங்கோட்டை,வருவாய் கிராமம் ,67,2014,LS,ADMK,ADMK+,190
64,64,பாளையங்கோட்டை,வருவாய் கிராமம் ,68,2014,LS,ADMK,ADMK+,187
65,65,பாளையங்கோட்டை,வருவாய் கிராமம் ,69,2014,LS,ADMK,ADMK+,384
66,66,பாளையங்கோட்டை,வருவாய் கிராமம் ,70,2014,LS,ADMK,ADMK+,315
67,67,வடக்குப்பாளையம்,வருவாய் கிராமம் ,71,2014,LS,ADMK,ADMK+,254
68,68,வடக்குப்பாளையம்,வருவாய் கிராமம் ,72,2014,LS,ADMK,ADMK+,117
69,69,வடக்குப்பாளையம்,வருவாய் கிராமம் ,73,2014,LS,ADMK,ADMK+,210
70,70,வடக்குப்பாளையம்,வருவாய் கிராமம் ,74,2014,LS,ADMK,ADMK+,177
71,71,சோழத்தரம்,வருவாய் கிராமம் ,75,2014,LS,ADMK,ADMK+,247
72,72,சோழத்தரம்,வருவாய் கிராமம் ,76,2014,LS,ADMK,ADMK+,224
73,73,சோழத்தரம்,வருவாய் கிராமம் ,77,2014,LS,ADMK,ADMK+,201
74,74,சோழத்தரம்,வருவாய் கிராமம் ,78,2014,LS,ADMK,ADMK+,176
75,75,சோழத்தரம்,வருவாய் கிராமம் ,79,2014,LS,ADMK,ADMK+,237
76,76,புடையூர்,வருவாய் கிராமம் ,80,2014,LS,ADMK,ADMK+,127
77,77,புடையூர்,வருவாய் கிராமம் ,81,2014,LS,ADMK,ADMK+,152
78,78,கலியமலை,வருவாய் கிராமம் ,82,2014,LS,ADMK,ADMK+,262
79,79,பூர்த்தங்குடி,வருவாய் கிராமம் ,83,2014,LS,ADMK,ADMK+,187
80,80,கந்தகுமாரன்,வருவாய் கிராமம் ,84,2014,LS,ADMK,ADMK+,98
81,81,ம. உத்தமசோழகன்,வருவாய் கிராமம் ,85,2014,LS,ADMK,ADMK+,25
82,82,கொள்ளுமேடு,வருவாய் கிராமம் ,86,2014,LS,ADMK,ADMK+,180
83,83,கொள்ளுமேடு,வருவாய் கிராமம் ,87,2014,LS,ADMK,ADMK+,58
84,84,இராயநல்லூர்,வருவாய் கிராமம் ,88,2014,LS,ADMK,ADMK+,287
85,85,ம. கொத்தங்குடி,வருவாய் கிராமம் ,89,2014,LS,ADMK,ADMK+,120
86,86,டி. புத்தூர்,வருவாய் கிராமம் ,90,2014,LS,ADMK,ADMK+,239
87,87,ஆட்கொண்டநத்தம்,வருவாய் கிராமம் ,91,2014,LS,ADMK,ADMK+,129
88,88,ஆட்கொண்டநத்தம்,வருவாய் கிராமம் ,92,2014,LS,ADMK,ADMK+,88
89,89,செட்டிக்கட்டளை,வருவாய் கிராமம் ,93,2014,LS,ADMK,ADMK+,245
90,90,வடமூர்,வருவாய் கிராமம் ,94,2014,LS,ADMK,ADMK+,125
91,91,பரிவிளாகம்,வருவாய் கிராமம் ,95,2014,LS,ADMK,ADMK+,263
92,92,தெம்மூர்,வருவாய் கிராமம் ,96,2014,LS,ADMK,ADMK+,199
93,93,தெம்மூர்,வருவாய் கிராமம் ,97,2014,LS,ADMK,ADMK+,204
94,94,கூடுவெளிச்சாவடி,வருவாய் கிராமம் ,98,2014,LS,ADMK,ADMK+,133
95,95,கூடுவெளி,வருவாய் கிராமம் ,99,2014,LS,ADMK,ADMK+,156
96,96,மெய்யாத்தூர்,வருவாய் கிராமம் ,100,2014,LS,ADMK,ADMK+,458
97,97,கீழக்கரை,வருவாய் கிராமம் ,103,2014,LS,ADMK,ADMK+,355
98,98,நந்திமங்கலம்,வருவாய் கிராமம் ,104,2014,LS,ADMK,ADMK+,254
99,99,நளம்புத்தூர்,வருவாய் கிராமம் ,105,2014,LS,ADMK,ADMK+,61
100,100,அத்திப்பட்டு,வருவாய் கிராமம் ,106,2014,LS,ADMK,ADMK+,203
101,101,தெற்குமாங்குடி,வருவாய் கிராமம் ,107,2014,LS,ADMK,ADMK+,99
102,102,வடக்குமாங்குடி,வருவாய் கிராமம் ,108,2014,LS,ADMK,ADMK+,101
103,103,வடக்குமாங்குடி,வருவாய் கிராமம் ,109,2014,LS,ADMK,ADMK+,46
104,104,கருப்பூர்,வருவாய் கிராமம் ,110,2014,LS,ADMK,ADMK+,120
105,105,குமராட்சி,வருவாய் கிராமம் ,111,2014,LS,ADMK,ADMK+,234
106,106,குமராட்சி,வருவாய் கிராமம் ,112,2014,LS,ADMK,ADMK+,175
107,107,குமராட்சி,வருவாய் கிராமம் ,113,2014,LS,ADMK,ADMK+,244
108,108,குமராட்சி,வருவாய் கிராமம் ,114,2014,LS,ADMK,ADMK+,325
109,109,கிழவன்னியூர்,வருவாய் கிராமம் ,115,2014,LS,ADMK,ADMK+,154
110,110,மேலவன்னியூர்,வருவாய் கிராமம் ,116,2014,LS,ADMK,ADMK+,210
111,111,மேலவன்னியூர்,வருவாய் கிராமம் ,117,2014,LS,ADMK,ADMK+,244
112,112,சாட்டைமேடு,வருவாய் கிராமம் ,118,2014,LS,ADMK,ADMK+,139
113,113,எள்ளேரி,வருவாய் கிராமம் ,120,2014,LS,ADMK,ADMK+,367
114,114,எள்ளேரி,வருவாய் கிராமம் ,122,2014,LS,ADMK,ADMK+,238
115,115,நெய்வாசல்,வருவாய் கிராமம் ,123,2014,LS,ADMK,ADMK+,164
116,116,நெய்வாசல்,வருவாய் கிராமம் ,124,2014,LS,ADMK,ADMK+,143
117,117,மானியம் ஆடூர்,வருவாய் கிராமம் ,125,2014,LS,ADMK,ADMK+,196
118,118,மானியம் ஆடூர்,வருவாய் கிராமம் ,126,2014,LS,ADMK,ADMK+,246
119,119,நத்தமலை,வருவாய் கிராமம் ,127,2014,LS,ADMK,ADMK+,117
120,120,திருச்சின்னபுரம்,வருவாய் கிராமம் ,128,2014,LS,ADMK,ADMK+,271
121,121,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,129,2014,LS,ADMK,ADMK+,175
122,122,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,130,2014,LS,ADMK,ADMK+,102
